id,prac_2016,vik_2016,prac_2018,vik_2018,prac_2020,vik_2020,prac_2022,vik_2022,datum_exportu,ObjectId,Shape__Length
211,15,15,15,15,24,20,24,20,2024/08/05 00:00:00+00,82,270.219775410233
210,10,10,10,0,10,0,10,0,2024/08/05 00:00:00+00,83,672.164319813123
209,20,15,24,20,26,20,30,20,2024/08/05 00:00:00+00,84,946.841437947247
214,20,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,85,1028.63388498433
222,20,25,15,0,15,0,15,0,2024/08/05 00:00:00+00,86,1042.67734067036
221,20,30,20,0,20,0,20,0,2024/08/05 00:00:00+00,87,806.361440601113
219,20,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,88,746.796577920954
217,10,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,89,229.750327105924
236,20,0,10,0,15,0,15,0,2024/08/05 00:00:00+00,90,683.795245025235
238,20,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,91,844.194396437044
232,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,92,763.875585917053
235,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,93,945.222536129395
234,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,94,1787.34172586838
197,65,60,80,65,70,50,100,50,2024/08/05 00:00:00+00,95,266.332290551435
194,60,50,60,50,65,50,75,50,2024/08/05 00:00:00+00,96,220.321281297372
193,60,50,70,55,60,50,70,50,2024/08/05 00:00:00+00,97,561.88111509845
192,5,0,6,0,6,0,6,0,2024/08/05 00:00:00+00,98,1356.51712235948
256,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,99,1993.47738242686
257,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,100,1821.6188042336
258,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,101,1493.59270894415
82,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,102,462.046608017803
81,5,0,5,0,10,0,10,0,2024/08/05 00:00:00+00,103,580.815286138209
80,45,0,45,0,40,0,40,0,2024/08/05 00:00:00+00,104,968.884076831654
66,40,0,40,0,50,0,50,0,2024/08/05 00:00:00+00,105,213.244788593455
65,35,0,30,0,40,0,40,0,2024/08/05 00:00:00+00,106,134.484434336361
68,35,0,30,0,40,0,40,0,2024/08/05 00:00:00+00,107,208.370515981027
45,50,35,50,30,70,35,80,40,2024/08/05 00:00:00+00,108,333.122588813499
60,40,20,40,20,40,20,40,20,2024/08/05 00:00:00+00,109,885.835741262067
28,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,110,881.126322011047
26,25,15,25,15,30,15,30,15,2024/08/05 00:00:00+00,111,111.249732069591
25,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,112,743.783693582536
27,30,15,25,5,30,5,30,20,2024/08/05 00:00:00+00,113,439.326791431357
61,10,5,10,5,10,5,6,5,2024/08/05 00:00:00+00,114,432.685424807952
76,30,15,40,15,40,15,40,15,2024/08/05 00:00:00+00,115,172.736951896557
64,30,15,30,15,30,15,30,15,2024/08/05 00:00:00+00,116,274.592148366659
62,20,10,20,10,20,10,20,10,2024/08/05 00:00:00+00,117,360.755583751958
63,20,10,20,10,20,10,20,10,2024/08/05 00:00:00+00,118,268.759665435072
69,35,0,30,0,40,0,40,0,2024/08/05 00:00:00+00,119,284.410251381755
23,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,120,574.511437935306
22,25,15,25,15,30,15,30,15,2024/08/05 00:00:00+00,121,324.019082293999
32,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,122,253.215164817365
31,35,0,30,0,35,0,35,0,2024/08/05 00:00:00+00,123,463.237269091512
30,32,0,32,0,32,0,32,0,2024/08/05 00:00:00+00,124,127.5758063356
18,22,0,22,0,22,0,22,0,2024/08/05 00:00:00+00,125,146.624856226428
19,30,0,30,0,30,0,30,0,2024/08/05 00:00:00+00,126,123.211222453181
16,25,0,25,0,20,0,20,0,2024/08/05 00:00:00+00,127,289.441248777685
17,25,15,25,15,30,15,30,15,2024/08/05 00:00:00+00,128,428.826312316174
